FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
19001,Adair,0.56,0.44,0.0,0.0
19003,Adams,0.568,0.432,0.0,0.0
19005,Allamakee,0.507,0.493,0.0,0.0
19007,Appanoose,0.547,0.453,0.0,0.0
19009,Audubon,0.625,0.375,0.0,0.0
19011,Benton,0.56,0.44,0.0,0.0
19013,Black Hawk,0.467,0.529,0.002,0.002
19015,Boone,0.45,0.55,0.0,0.0
19017,Bremer,0.533,0.453,0.013,0.0
19019,Buchanan,0.525,0.475,0.0,0.0
19021,Buena Vista,0.486,0.486,0.028,0.0
19023,Butler,0.417,0.583,0.0,0.0
19025,Calhoun,0.5,0.5,0.0,0.0
19027,Carroll,0.63,0.37,0.0,0.0
19029,Cass,0.6,0.38,0.02,0.0
19031,Cedar,0.443,0.557,0.0,0.0
19033,Cerro Gordo,0.496,0.504,0.0,0.0
19035,Cherokee,0.454,0.546,0.0,0.0
19037,Chickasaw,0.601,0.389,0.01,0.0
19039,Clarke,0.58,0.42,0.0,0.0
19041,Clay,0.494,0.506,0.0,0.0
19043,Clayton,0.49,0.51,0.0,0.0
19045,Clinton,0.486,0.514,0.0,0.0
19047,Crawford,0.451,0.417,0.132,0.0
19049,Dallas,0.575,0.417,0.008,0.0
19051,Davis,0.58,0.42,0.0,0.0
19053,Decatur,0.502,0.472,0.013,0.013
19055,Delaware,0.55,0.43,0.02,0.0
19057,Des Moines,0.467,0.533,0.0,0.0
19059,Dickinson,0.488,0.512,0.0,0.0
19061,Dubuque,0.522,0.474,0.004,0.0
19063,Emmet,0.56,0.44,0.0,0.0
19065,Fayette,0.526,0.469,0.0,0.005
19067,Floyd,0.567,0.433,0.0,0.0
19069,Franklin,0.568,0.422,0.01,0.0
19071,Fremont,0.444,0.5,0.056,0.0
19073,Greene,0.539,0.461,0.0,0.0
19075,Grundy,0.467,0.518,0.015,0.0
19077,Guthrie,0.55,0.45,0.0,0.0
19079,Hamilton,0.589,0.411,0.0,0.0
19081,Hancock,0.612,0.388,0.0,0.0
19083,Hardin,0.577,0.423,0.0,0.0
19085,Harrison,0.453,0.547,0.0,0.0
19087,Henry,0.5,0.5,0.0,0.0
19089,Howard,0.461,0.539,0.0,0.0
19091,Humboldt,0.555,0.445,0.0,0.0
19093,Ida,0.533,0.467,0.0,0.0
19095,Iowa,0.51,0.49,0.0,0.0
19097,Jackson,0.5,0.46,0.04,0.0
19099,Jasper,0.515,0.45,0.035,0.0
19101,Jefferson,0.273,0.727,0.0,0.0
19103,Johnson,0.402,0.595,0.003,0.0
19105,Jones,0.466,0.534,0.0,0.0
19107,Keokuk,0.625,0.35,0.025,0.0
19109,Kossuth,0.608,0.36,0.022,0.01
19111,Lee,0.547,0.453,0.0,0.0
19113,Linn,0.474,0.523,0.003,0.0
19115,Louisa,0.56,0.42,0.02,0.0
19117,Lucas,0.6,0.4,0.0,0.0
19119,Lyon,0.402,0.568,0.03,0.0
19121,Madison,0.533,0.467,0.0,0.0
19123,Mahaska,0.562,0.438,0.0,0.0
19125,Marion,0.5,0.48,0.02,0.0
19127,Marshall,0.466,0.534,0.0,0.0
19129,Mills,0.511,0.489,0.0,0.0
19131,Mitchell,0.65,0.338,0.013,0.0
19133,Monona,0.602,0.388,0.01,0.0
19135,Monroe,0.433,0.446,0.121,0.0
19137,Montgomery,0.36,0.64,0.0,0.0
19139,Muscatine,0.46,0.54,0.0,0.0
19141,O'Brien,0.51,0.473,0.017,0.0
19143,Osceola,0.566,0.384,0.051,0.0
19145,Page,0.494,0.506,0.0,0.0
19147,Palo Alto,0.534,0.466,0.0,0.0
