FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER,TRUMP,CRUZ,RUBIO,KASICH,CARSON,BUSH,CHRISTIE,PAUL,REP_OTHER
19001,Adair,0.0,0.0,0.0,0.0,0.256,0.256,0.197,0.005,0.15,0.01,0.01,0.029,0.002
19003,Adams,0.0,0.0,0.0,0.0,0.249,0.297,0.172,0.037,0.11,0.026,0.004,0.029,0.004
19005,Allamakee,0.0,0.0,0.0,0.0,0.281,0.266,0.191,0.003,0.112,0.016,0.006,0.023,0.001
19007,Appanoose,0.0,0.0,0.0,0.0,0.348,0.32,0.107,0.005,0.11,0.015,0.005,0.024,0.001
19009,Audubon,0.0,0.0,0.0,0.0,0.265,0.361,0.15,0.013,0.088,0.027,0.003,0.029,0.0
19011,Benton,0.0,0.0,0.0,0.0,0.251,0.365,0.15,0.017,0.105,0.007,0.014,0.044,0.001
19013,Black Hawk,0.0,0.0,0.0,0.0,0.23,0.268,0.262,0.009,0.084,0.03,0.018,0.06,0.0
19015,Boone,0.0,0.0,0.0,0.0,0.234,0.322,0.182,0.013,0.101,0.018,0.023,0.055,0.0
19017,Bremer,0.0,0.0,0.0,0.0,0.233,0.274,0.261,0.034,0.09,0.026,0.011,0.031,0.0
19019,Buchanan,0.0,0.0,0.0,0.0,0.259,0.368,0.131,0.007,0.098,0.017,0.018,0.042,0.0
19021,Buena Vista,0.0,0.0,0.0,0.0,0.249,0.306,0.219,0.015,0.096,0.023,0.007,0.026,0.0
19023,Butler,0.0,0.0,0.0,0.0,0.242,0.365,0.159,0.003,0.119,0.026,0.007,0.035,0.0
19025,Calhoun,0.0,0.0,0.0,0.0,0.244,0.285,0.217,0.013,0.066,0.018,0.009,0.036,0.0
19027,Carroll,0.0,0.0,0.0,0.0,0.29,0.25,0.224,0.014,0.067,0.058,0.007,0.03,0.001
19029,Cass,0.0,0.0,0.0,0.0,0.284,0.244,0.19,0.023,0.154,0.037,0.016,0.01,0.0
